timestamp,accX,accY,accZ
607226,702,-133,-17275
607230,163,70,-15588
607234,235,109,-16362
607238,515,121,-17542
607242,252,127,-17574
607246,59,-14,-15957
607250,259,636,-16134
607254,404,-261,-16497
607258,614,-65,-16950
607262,26,266,-16977
607266,368,229,-16388
607270,161,63,-16259
607274,800,493,-17229
607278,303,48,-15685
607282,256,339,-16783
607286,144,-54,-16324
607290,938,-156,-16834
607294,431,36,-16398
607298,-30,131,-16209
607302,649,-150,-16868
607306,498,-262,-15843
607310,504,336,-17418
607314,-159,701,-15184
607318,118,43,-17181
607322,680,-123,-15491
607326,396,173,-16274
607330,316,247,-16188
607334,-6,-51,-16549
607338,604,150,-16205
607342,346,65,-16957
607346,211,20,-16960
607350,115,-297,-15747
607354,300,46,-16708
607358,426,-81,-15942
607362,612,-72,-15851
607366,249,0,-16983
607369,431,-273,-16492
607374,303,20,-16233
607377,618,-19,-15987
607381,384,251,-17168
607385,813,93,-16588
607389,72,523,-17720
607393,693,363,-16233
607397,447,554,-16840
607401,208,603,-16869
607405,269,198,-15946
607409,229,766,-16459
607413,577,-406,-16492
607417,-129,-614,-15656
607422,366,294,-15707
607426,275,-673,-15701
607430,205,-62,-17380
607434,274,-312,-16058
607438,615,-8,-16711
607442,264,58,-16679
607446,453,-86,-16470
607450,435,-357,-16017
607454,6,206,-17250
607458,-454,326,-16189
607462,1016,395,-16416
607466,229,135,-15661
607470,412,462,-17919
607474,191,135,-14328
607478,260,325,-16965
607482,357,166,-16260
607486,377,-279,-15789
607490,737,-110,-16643
607494,474,-44,-15399
607498,527,-506,-14139
607502,390,-177,-17386
607506,160,-787,-15338
607510,393,-150,-14859
607514,163,-176,-17721
607519,323,-472,-15949
607523,249,456,-16347
607527,688,-270,-16748
607531,377,-350,-16084
607535,167,771,-15230
607539,443,269,-17087
607543,100,314,-16940
607547,542,-68,-15358
607551,331,-144,-18172
607555,71,147,-17190
607559,204,-323,-16637
607563,763,-66,-16898
607567,205,-54,-17097
607571,50,-219,-15991
607575,422,-51,-17044
607579,338,-204,-16821
607583,470,-144,-15638
607587,386,62,-17781
607591,29,-209,-14912
607595,317,200,-16949
607599,622,118,-16776
607603,597,185,-15696
607607,187,-75,-17237
607611,133,322,-15814
607615,739,-9,-16679
